training/fb_actor/actor_loss,training/fb_actor/bc_log_prob,training/fb_actor/bc_loss,training/fb_actor/mse,training/fb_actor/q_abs_mean,training/fb_actor/q_loss,training/fb_actor/q_mean,training/fb_actor/std,training/fb_repr/occ_measure_max,training/fb_repr/occ_measure_mean,training/fb_repr/occ_measure_min,training/fb_repr/ortho_diag_loss,training/fb_repr/ortho_loss,training/fb_repr/ortho_off_diag_loss,training/fb_repr/repr_diag_loss,training/fb_repr/repr_loss,training/fb_repr/repr_off_diag_loss,training/grad/max,training/grad/min,training/grad/norm,validation/fb_actor/actor_loss,validation/fb_actor/bc_log_prob,validation/fb_actor/bc_loss,validation/fb_actor/mse,validation/fb_actor/q_abs_mean,validation/fb_actor/q_loss,validation/fb_actor/q_mean,validation/fb_actor/std,validation/fb_repr/occ_measure_max,validation/fb_repr/occ_measure_mean,validation/fb_repr/occ_measure_min,validation/fb_repr/ortho_diag_loss,validation/fb_repr/ortho_loss,validation/fb_repr/ortho_off_diag_loss,validation/fb_repr/repr_diag_loss,validation/fb_repr/repr_loss,validation/fb_repr/repr_off_diag_loss,time/epoch_time,time/total_time,step
-7713.6855,-10.030029,10.030029,1.5054665,7723.716,-7723.716,7723.716,1.0,8234.749,35.270744,-3530.2725,-1023.99603,-458.97662,565.0194,-91.88106,3487.1052,3593.022,445.1211,-342.82037,115312.41,-7675.482,-10.287472,10.287472,1.5912803,7685.7695,-7685.7695,7685.7695,1.0,8589.752,32.012257,-3019.6907,-1023.99896,-384.93396,639.065,-93.157875,3495.478,3602.7083,0.011960979461669921,59.80491399765015,5000
-14586.325,-9.74535,9.74535,1.410573,14596.07,-14596.07,14596.07,1.0,17966.67,61.85572,-7584.851,-1023.9916,-416.50513,607.48645,-252.36893,9804.512,10096.32,1358.4685,-1553.6675,396888.75,-14745.772,-10.132312,10.132312,1.5395603,14755.904,-14755.904,14755.904,1.0,18070.896,59.430546,-7177.7446,-1023.9966,-341.7397,682.2569,-255.37679,9312.238,9605.135,0.004708988046646118,83.34986400604248,10000
-20453.904,-9.96818,9.96818,1.4848492,20463.873,-20463.873,20463.873,1.0,25820.387,84.04537,-10924.288,-1023.9966,-303.8044,720.19214,-573.0419,15668.2295,16304.967,2949.7756,-3019.7695,740133.25,-20702.91,-10.13914,10.13914,1.5418365,20713.049,-20713.049,20713.049,1.0,25290.781,58.944736,-12699.815,-1023.9935,-234.22614,789.76733,-275.07593,15983.893,16322.73,0.0047250226974487304,106.97498607635498,15000
-25785.684,-10.120878,10.120878,1.5357488,25795.805,-25795.805,25795.805,1.0,34359.08,124.8365,-15147.116,-1023.994,-242.84354,781.15045,-436.95215,19873.492,20390.094,3733.425,-3673.2097,992001.25,-25827.057,-10.202185,10.202185,1.5628513,25837.26,-25837.26,25837.26,1.0,35453.67,122.62873,-15317.735,-1023.9917,-177.54767,846.44403,-433.37396,19504.852,20016.418,0.004708594369888306,130.51796698570251,20000
-29976.127,-10.217558,10.217558,1.5679758,29986.344,-29986.344,29986.344,1.0,40634.45,150.73009,-16812.002,-1023.99695,-187.1599,836.83704,-368.93774,20867.508,21319.723,5771.732,-4426.259,1165058.4,-30454.035,-10.281612,10.281612,1.5893273,30464.316,-30464.316,30464.316,1.0,40180.516,169.40778,-21327.207,-1023.99646,-127.09144,896.905,-668.2709,21607.723,22363.352,0.004764829874038696,154.34212565422058,25000
-34582.688,-10.327255,10.327255,1.6045415,34593.016,-34593.016,34593.016,1.0,51474.664,156.67801,-22475.867,-1023.9951,-130.31209,893.68304,-99.98826,31570.926,31795.107,8969.38,-8484.308,1731937.6,-36234.85,-10.209061,10.209061,1.5651431,36245.062,-36245.062,36245.062,1.0,47296.957,189.23676,-22608.475,-1023.9933,-52.800102,971.1932,-333.33307,31384.984,31842.703,0.0047017508506774905,177.85088896751404,30000
-39839.16,-10.290354,10.290354,1.5922408,39849.45,-39849.45,39849.45,1.0,52796.62,219.77689,-25768.291,-1023.9992,-104.71561,919.2836,-207.76309,31662.21,31994.963,6662.3066,-7019.333,1914473.0,-39525.824,-10.447741,10.447741,1.6447029,39536.273,-39536.273,39536.273,1.0,57234.207,162.19766,-24052.664,-1023.9946,-37.77558,986.219,111.29137,30718.309,30727.047,0.004741780567169189,201.55980134010315,35000
-44042.25,-10.516136,10.516136,1.6675019,44052.766,-44052.766,44052.766,1.0,59297.504,166.08286,-28370.543,-1023.99603,-67.013695,956.9823,-1046.6204,33381.438,34563.062,8197.612,-9464.582,2119589.0,-44372.668,-10.691975,10.691975,1.7261147,44383.36,-44383.36,44383.36,1.0,60948.37,219.27026,-29600.61,-1023.9955,44.75896,1068.7544,-1154.29,33407.613,34697.434,0.0047061507701873775,225.0905635356903,40000
-48877.953,-10.435905,10.435905,1.6407579,48888.39,-48888.39,48888.39,1.0,65438.324,264.18436,-32156.268,-1023.9961,-30.43602,993.5601,-911.9935,25420.184,26435.432,7296.3447,-8608.312,1820258.4,-48806.934,-10.662724,10.662724,1.7163643,48817.598,-48817.598,48817.598,1.0,73215.95,253.05081,-34208.87,-1023.9955,49.474087,1073.4696,-1048.3846,28006.16,29168.484,0.004742494392395019,248.8030445575714,45000
-53441.29,-10.3902,10.3902,1.625523,53451.68,-53451.68,53451.68,1.0,75848.375,235.2055,-35051.504,-1023.99677,8.081594,1032.0784,-674.26447,41320.09,42159.035,13793.748,-10103.605,2576310.5,-52717.65,-10.576281,10.576281,1.6875498,52728.227,-52728.227,52728.227,1.0,80317.54,250.93387,-33682.855,-1023.99524,117.18339,1141.1786,-1067.7422,41083.85,42316.895,0.004696301221847534,272.28455996513367,50000
