training/fb_actor/actor_loss,training/fb_actor/mse,training/fb_actor/q_abs_mean,training/fb_actor/q_loss,training/fb_actor/q_mean,training/fb_actor/std,training/fb_repr/B,training/fb_repr/B_norm,training/fb_repr/F1,training/fb_repr/M1,training/fb_repr/fb_diag,training/fb_repr/fb_loss,training/fb_repr/fb_offdiag,training/fb_repr/orth_loss,training/fb_repr/orth_loss_diag,training/fb_repr/orth_loss_offdiag,training/fb_repr/target_M,training/grad/max,training/grad/min,training/grad/norm,validation/fb_actor/actor_loss,validation/fb_actor/mse,validation/fb_actor/q_abs_mean,validation/fb_actor/q_loss,validation/fb_actor/q_mean,validation/fb_actor/std,validation/fb_repr/B,validation/fb_repr/B_norm,validation/fb_repr/F1,validation/fb_repr/M1,validation/fb_repr/fb_diag,validation/fb_repr/fb_loss,validation/fb_repr/fb_offdiag,validation/fb_repr/orth_loss,validation/fb_repr/orth_loss_diag,validation/fb_repr/orth_loss_offdiag,validation/fb_repr/target_M,time/epoch_time,time/total_time,step
-192.9712,58.74798,194.4938,-192.9712,192.9712,1.0,-0.00031903357,7.071068,-0.34712088,28.98339,-591.5497,-482.28696,157.1848,-47.922096,-100.0003,52.0782,28.696972,250.17331,-209.45396,4383.9873,-187.09637,60.489605,189.63797,-187.09637,187.09637,1.0,-0.00097041443,7.071068,-0.29699463,29.058739,-610.5233,-471.20682,185.02478,-45.70827,-100.00041,54.29214,28.55985,0.010198832368850708,50.9941782951355,5000
-267.18677,107.172935,270.67255,-267.18677,267.18677,1.0,0.001144256,7.071068,0.09758455,38.72566,-767.3623,-587.679,226.4763,-46.793053,-99.99991,53.206856,38.659904,193.1684,-239.7956,5552.069,-252.32048,102.075424,254.6063,-252.32048,252.32048,1.0,-0.009790811,7.071068,-0.07775538,35.620865,-777.9523,-587.6357,236.57431,-46.25773,-99.99971,53.74198,35.32419,0.0034639302253723146,68.31383848190308,10000
-312.34637,133.45786,313.79422,-312.34637,312.34637,1.0,-0.013410608,7.071068,0.11654708,40.541054,-858.1201,-615.5458,289.81314,-47.238777,-100.00038,52.761604,40.470932,150.33868,-191.09314,4934.526,-292.07278,126.4948,294.65674,-292.07278,292.07278,1.0,-0.016442295,7.071068,0.1705403,38.961777,-865.37,-641.06433,269.1757,-44.870003,-99.99992,55.12992,38.51446,0.003428342342376709,85.45555996894836,15000
-321.5119,136.44833,322.90503,-321.5119,321.5119,1.0,0.0017650169,7.071068,0.36272764,44.337585,-903.90564,-645.2896,305.55035,-46.934334,-100.00047,53.06614,44.131664,178.22934,-187.55821,6559.3857,-323.89734,131.60777,324.70355,-323.89734,323.89734,1.0,-0.004427656,7.071068,0.07388595,40.51555,-937.367,-660.35187,321.3899,-44.37474,-100.00028,55.62554,40.217278,0.0034282867908477783,102.59700298309326,20000
-340.32788,152.06741,341.4019,-340.32788,340.32788,1.0,-0.00966537,7.071068,-0.0489344,45.072956,-1011.1689,-782.9854,273.55942,-45.375923,-100.00041,54.62449,44.604866,174.28786,-223.05132,5912.8906,-342.8588,145.46063,343.82687,-342.8588,342.8588,1.0,-0.004924117,7.071068,-0.06564796,41.721016,-994.1028,-717.8595,319.79263,-43.54932,-99.99994,56.45062,41.03315,0.0034249074459075926,119.72154879570007,25000
-345.43906,130.74315,349.2911,-345.43906,345.43906,1.0,0.006247101,7.071068,0.3127012,45.681343,-1058.3147,-773.6414,330.47928,-45.805943,-100.000336,54.194393,45.74684,349.34128,-336.0659,8525.323,-351.2079,142.28429,356.58566,-351.2079,351.2079,1.0,-0.011791565,7.071068,-0.15278083,39.977196,-1066.2363,-772.59314,337.13632,-43.493168,-100.000305,56.507137,40.0912,0.003426174545288086,136.8524305820465,30000
-342.4953,124.16011,348.33997,-342.4953,342.4953,1.0,-0.00454296,7.071068,0.35623837,46.304848,-1092.0792,-788.9294,348.9773,-45.827427,-100.00004,54.17261,46.967415,201.25076,-200.2622,6264.1543,-350.74368,122.69265,353.6432,-350.74368,350.74368,1.0,-0.0018383847,7.071068,0.18953463,44.70813,-1167.2708,-840.17114,368.8036,-41.703968,-100.00006,58.296093,45.5523,0.003481678533554077,154.26083254814148,35000
-359.20862,126.56268,360.50385,-359.20862,359.20862,1.0,0.006155658,7.071068,0.47112754,45.98266,-1149.2603,-814.7382,380.52463,-46.002632,-99.999084,53.996452,45.736748,168.7384,-167.28085,7237.8438,-378.9488,127.83232,381.79047,-378.9488,378.9488,1.0,0.0040876893,7.071068,0.41795143,45.284363,-1170.3203,-823.89905,388.02078,-41.5995,-99.999664,58.400166,44.765816,0.003455373430252075,171.53770875930786,40000
-381.8949,123.65395,385.64435,-381.8949,381.8949,1.0,-0.015666489,7.071068,0.17776935,47.110886,-1203.1138,-881.64667,365.86633,-44.399235,-99.99979,55.60055,47.38394,127.55829,-120.0199,6356.204,-359.1496,124.5347,360.80554,-359.1496,359.1496,1.0,0.016026968,7.071068,0.6013646,50.555344,-1254.4395,-872.54553,422.1565,-40.262547,-99.9997,59.737156,51.037285,0.003456141519546509,188.818425655365,45000
-371.9366,120.18385,375.47147,-371.9366,371.9366,1.0,-0.015977599,7.071068,0.44018352,45.79451,-1251.9172,-867.80005,429.34155,-45.224335,-100.00017,54.775833,46.060112,158.84814,-139.33638,6790.4224,-382.5775,122.27724,385.14865,-382.5775,382.5775,1.0,-0.0073658377,7.071068,0.38118458,53.742676,-1266.8577,-827.092,477.5749,-37.80922,-100.00053,62.191307,53.9802,0.003448892593383789,206.06289792060852,50000
